feature,importance,importance_fraction
num_pipe__Weight,0.5427787,0.5427786
cat_pipe_ord__Gender,0.38998896,0.3899889
num_pipe__Height,0.031530432,0.03153043
cat_pipe_ord__FAVC,0.013260924,0.013260922
cat_pipe__CALC_no,0.004015543,0.0040155426
num_pipe__FCVC,0.0038590922,0.0038590918
cat_pipe__CAEC_Sometimes,0.0018331576,0.0018331574
cat_pipe_ord__SCC,0.0015567429,0.0015567427
num_pipe__Age,0.0014438868,0.0014438867
cat_pipe__CALC_Sometimes,0.0012162289,0.0012162288
cat_pipe__MTRANS_Automobile,0.0012100483,0.0012100482
cat_pipe__MTRANS_Public_Transportation,0.0010874991,0.001087499
num_pipe__NCP,0.0010813224,0.0010813223
num_pipe__CH2O,0.0009207068,0.00092070666
cat_pipe_ord__family_history,0.0008238763,0.0008238762
num_pipe__TUE,0.0007875145,0.0007875144
cat_pipe__MTRANS_Walking,0.0007608964,0.0007608963
cat_pipe__CAEC_Frequently,0.0006303894,0.0006303893
num_pipe__FAF,0.00048700094,0.00048700089
cat_pipe_ord__SMOKE,0.0004122077,0.00041220765
cat_pipe__CALC_Frequently,0.000162678,0.00016267798
cat_pipe__CAEC_Always,0.00015223344,0.00015223342
