feature,importance,importance_fraction
num_pipe__Weight,0.5344146,0.5344146
cat_pipe_ord__Gender,0.40316927,0.40316927
num_pipe__Height,0.034884434,0.034884434
cat_pipe_ord__FAVC,0.008834483,0.008834483
cat_pipe__CALC_Sometimes,0.0030001462,0.0030001462
cat_pipe__CAEC_Sometimes,0.0023653435,0.0023653435
num_pipe__FCVC,0.002003264,0.002003264
cat_pipe__MTRANS_Public_Transportation,0.0013869411,0.0013869411
num_pipe__Age,0.0012669328,0.0012669328
cat_pipe__CAEC_Always,0.0010591773,0.0010591773
num_pipe__CH2O,0.00097268017,0.00097268017
cat_pipe_ord__SCC,0.0009474826,0.0009474826
cat_pipe__MTRANS_Automobile,0.0009330776,0.0009330776
num_pipe__NCP,0.00091608864,0.00091608864
num_pipe__TUE,0.0006657872,0.0006657872
num_pipe__FAF,0.0005586901,0.0005586901
cat_pipe_ord__family_history,0.0005342012,0.0005342012
cat_pipe__CALC_no,0.0005217859,0.0005217859
cat_pipe_ord__SMOKE,0.00044793595,0.00044793595
cat_pipe__CAEC_Frequently,0.00033818567,0.00033818567
cat_pipe__MTRANS_Motorbike,0.00028966396,0.00028966396
cat_pipe__CALC_Frequently,0.00023309897,0.00023309897
cat_pipe__MTRANS_Walking,0.00013349987,0.00013349987
cat_pipe__CAEC_no,0.00012327095,0.00012327095
