feature,importance,importance_fraction
cat_pipe_ord__Gender,0.2506634,0.2506634
num_pipe__Weight,0.13115847,0.13115847
cat_pipe__CALC_no,0.115935124,0.115935124
num_pipe__FCVC,0.10158533,0.10158533
cat_pipe__CAEC_Frequently,0.05991762,0.05991762
num_pipe__Height,0.047553852,0.047553852
cat_pipe_ord__FAVC,0.045777373,0.045777373
num_pipe__CH2O,0.035252966,0.035252966
cat_pipe__CAEC_no,0.034827087,0.034827087
num_pipe__NCP,0.03338021,0.03338021
cat_pipe__MTRANS_Automobile,0.027351445,0.027351445
cat_pipe__CALC_Sometimes,0.025134375,0.025134375
num_pipe__FAF,0.022697357,0.022697357
num_pipe__Age,0.020545524,0.020545524
num_pipe__TUE,0.016091617,0.016091617
cat_pipe__MTRANS_Public_Transportation,0.010946865,0.010946865
cat_pipe__CAEC_Sometimes,0.008568074,0.008568074
cat_pipe_ord__SCC,0.0067288475,0.0067288475
cat_pipe_ord__family_history,0.005884497,0.005884497
