feature,importance,importance_fraction
cat_pipe_ord__Gender,0.21270838,0.21270838
num_pipe__Weight,0.13303012,0.13303012
num_pipe__FCVC,0.12030356,0.12030356
cat_pipe__CALC_no,0.08016154,0.08016154
cat_pipe__CALC_Sometimes,0.05966579,0.05966579
num_pipe__Height,0.053321138,0.053321138
num_pipe__CH2O,0.046152204,0.046152204
cat_pipe__CAEC_Frequently,0.040462874,0.040462874
num_pipe__NCP,0.037570506,0.037570506
cat_pipe_ord__FAVC,0.036755446,0.036755446
num_pipe__Age,0.03522644,0.03522644
cat_pipe__MTRANS_Automobile,0.03313255,0.03313255
cat_pipe__CAEC_Sometimes,0.032727156,0.032727156
num_pipe__FAF,0.024040416,0.024040416
num_pipe__TUE,0.023017792,0.023017792
cat_pipe_ord__family_history,0.0119624995,0.0119624995
cat_pipe__MTRANS_Public_Transportation,0.011321577,0.011321577
cat_pipe_ord__SCC,0.008439971,0.008439971
