feature,importance,importance_fraction
num_pipe__Weight,0.22007997,0.22007997
cat_pipe_ord__Gender,0.14088063,0.14088063
num_pipe__FCVC,0.117788546,0.117788546
num_pipe__Height,0.07713077,0.07713077
num_pipe__NCP,0.060396116,0.060396116
cat_pipe__MTRANS_Automobile,0.056262452,0.056262452
cat_pipe__CALC_no,0.052339,0.052339
cat_pipe__CAEC_Frequently,0.03498675,0.03498675
cat_pipe_ord__FAVC,0.03487947,0.03487947
num_pipe__CH2O,0.033659335,0.033659335
cat_pipe__CALC_Sometimes,0.03297984,0.03297984
num_pipe__Age,0.029682072,0.029682072
num_pipe__FAF,0.024925128,0.024925128
num_pipe__TUE,0.020882329,0.020882329
cat_pipe__CAEC_no,0.019349752,0.019349752
cat_pipe_ord__family_history,0.014093121,0.014093121
cat_pipe__CAEC_Sometimes,0.0127411345,0.0127411345
cat_pipe__MTRANS_Public_Transportation,0.008485711,0.008485711
cat_pipe_ord__SCC,0.0051966603,0.0051966603
cat_pipe__CAEC_Always,0.0032612074,0.0032612074
