feature,importance,importance_fraction
num_pipe__Weight,0.56464434,0.5646443
cat_pipe_ord__Gender,0.36518872,0.3651887
num_pipe__Height,0.03900824,0.039008237
cat_pipe_ord__FAVC,0.010632971,0.01063297
cat_pipe__CALC_Sometimes,0.0036248814,0.003624881
num_pipe__FCVC,0.0032185393,0.0032185388
cat_pipe__CALC_no,0.0032035625,0.003203562
cat_pipe__CAEC_Sometimes,0.0014755588,0.0014755586
num_pipe__Age,0.0013515833,0.0013515832
cat_pipe__MTRANS_Public_Transportation,0.0010784141,0.001078414
num_pipe__NCP,0.00095927285,0.00095927273
cat_pipe_ord__SCC,0.00092509534,0.0009250952
cat_pipe_ord__family_history,0.00089282054,0.0008928204
num_pipe__CH2O,0.0006965772,0.00069657713
num_pipe__TUE,0.0005953783,0.0005953782
cat_pipe__CAEC_Frequently,0.00050850207,0.000508502
cat_pipe__MTRANS_Automobile,0.0004571999,0.00045719984
num_pipe__FAF,0.00040512194,0.0004051219
cat_pipe__CAEC_Always,0.0003656636,0.00036566358
cat_pipe__MTRANS_Walking,0.00024222497,0.00024222494
cat_pipe__CAEC_no,0.00020149857,0.00020149854
cat_pipe_ord__SMOKE,0.00018367164,0.00018367161
cat_pipe__CALC_Frequently,0.0001401406,0.00014014059
