feature,importance,importance_fraction
num_pipe__Weight,0.24224065,0.24224062
num_pipe__FCVC,0.1339937,0.13399369
cat_pipe__CALC_no,0.1093109,0.10931089
cat_pipe_ord__Gender,0.09995697,0.09995695
num_pipe__Height,0.07916727,0.07916726
num_pipe__NCP,0.03782369,0.037823685
num_pipe__Age,0.035888977,0.035888974
num_pipe__CH2O,0.035152618,0.035152614
cat_pipe_ord__FAVC,0.029266885,0.02926688
num_pipe__FAF,0.029265122,0.029265119
num_pipe__TUE,0.02869064,0.028690636
cat_pipe__CALC_Sometimes,0.02779931,0.027799306
cat_pipe__CAEC_Frequently,0.026928255,0.026928252
cat_pipe__MTRANS_Automobile,0.02662299,0.026622986
cat_pipe__MTRANS_Public_Transportation,0.015160044,0.015160042
cat_pipe__CAEC_no,0.014618425,0.014618423
cat_pipe__CAEC_Sometimes,0.012899815,0.012899813
cat_pipe_ord__family_history,0.010854774,0.010854773
cat_pipe_ord__SCC,0.0035566671,0.0035566667
cat_pipe__CAEC_Always,0.0008023361,0.00080233597
