feature,importance,importance_fraction
cat_pipe_ord__Gender,0.20533594,0.20533592
num_pipe__Weight,0.123807676,0.12380766
num_pipe__FCVC,0.09612141,0.09612139
cat_pipe__CALC_no,0.09297578,0.09297577
cat_pipe__CAEC_no,0.082977936,0.08297793
cat_pipe__CAEC_Frequently,0.050671097,0.05067109
cat_pipe__MTRANS_Walking,0.04638816,0.046388157
num_pipe__Height,0.04551208,0.045512076
cat_pipe_ord__FAVC,0.03662079,0.036620785
num_pipe__CH2O,0.035279278,0.035279274
cat_pipe__CALC_Sometimes,0.033634488,0.033634484
num_pipe__NCP,0.029501861,0.029501857
cat_pipe__MTRANS_Automobile,0.028917681,0.028917678
num_pipe__FAF,0.027867157,0.027867153
num_pipe__Age,0.024314547,0.024314543
num_pipe__TUE,0.013208911,0.013208909
cat_pipe__CAEC_Sometimes,0.009446311,0.00944631
cat_pipe_ord__SCC,0.0077925627,0.007792562
cat_pipe_ord__family_history,0.005335338,0.0053353375
cat_pipe__MTRANS_Public_Transportation,0.0042909705,0.00429097
