feature,importance,importance_fraction
num_pipe__Weight,0.2413249,0.2413249
num_pipe__FCVC,0.1461095,0.1461095
cat_pipe_ord__Gender,0.104038715,0.104038715
num_pipe__Height,0.05641425,0.05641425
cat_pipe_ord__FAVC,0.047630966,0.047630966
cat_pipe__CALC_Sometimes,0.04660916,0.04660916
cat_pipe__CALC_no,0.04532137,0.04532137
num_pipe__NCP,0.038640562,0.038640562
num_pipe__CH2O,0.034901418,0.034901418
num_pipe__FAF,0.028713059,0.028713059
num_pipe__TUE,0.027759952,0.027759952
num_pipe__Age,0.026349502,0.026349502
cat_pipe__CAEC_Frequently,0.024573332,0.024573332
cat_pipe__CAEC_no,0.024451723,0.024451723
cat_pipe__CALC_Frequently,0.0239335,0.0239335
cat_pipe__MTRANS_Automobile,0.014689318,0.014689318
cat_pipe__CAEC_Always,0.014643102,0.014643102
cat_pipe__CAEC_Sometimes,0.011668995,0.011668995
cat_pipe_ord__family_history,0.009790375,0.009790375
cat_pipe__MTRANS_Public_Transportation,0.009633209,0.009633209
cat_pipe__MTRANS_Walking,0.00869241,0.00869241
cat_pipe_ord__SCC,0.0060688867,0.0060688867
cat_pipe__MTRANS_Motorbike,0.004255868,0.004255868
cat_pipe_ord__SMOKE,0.0037859473,0.0037859473
